"kind","code","name","source","exists_before","consume_refs_before","non_migrated_refs_before"
"Machine","2009000029","便携式超声波流量计 0.1～9m/s","manual-L0","1","1","0"
"Material","1990051","钢件防腐处理","obsolete-alias","0","0","0"
"Material","5833051","钢芯铝绞线","obsolete-alias","0","0","0"
"Material","1009090008","水泥 32.5 级","manual-L0","1","3827","0"
"Material","1009090085","镀锌滑杆头","manual-L0","1","10","0"
"Material","1009090107","铝芯橡皮线 BLX 500V 120mm2","manual-L0","1","3","0"
"Material","1009090129","素枕 一型","manual-L0","1","42","0"
"Material","1009090163","低烟无卤阻燃铠装尾缆 2芯","manual-L0","1","7","0"
"Material","1009090172","通贯横撑走接件 C75","manual-L0","1","8","0"
"Material","1009090210","青石台阶","manual-L0","1","142","0"
"Material","1009090224","电子感应横移门","manual-L0","1","4","0"
"Material","1009090226","圆弧感应自动门 直径3m","manual-L0","1","1","0"
"Material","1009090232","铝合金地弹门（不含玻璃）","manual-L0","1","6","0"
"Material","1009090233","铝合金平开门（不含玻璃）","manual-L0","1","15","0"
"Material","1009090235","铝合金推拉门（不含玻璃）","manual-L0","1","6","0"
"Material","1009090236","预制陶粒混凝土聚苯复合板","manual-L0","1","3","0"
"Material","1009090239","防火卷帘门手动装置","manual-L0","1","15","0"
"Material","1009090269","磨石（无砟轨道轨道板、支承块打磨用）","manual-L0","1","9","0"
"Material","1009090296","线岔 TG型","manual-L0","1","1","0"
"Material","1009090297","线岔 Y1型","manual-L0","1","1","0"
"Material","1009090298","线岔 Y2型","manual-L0","1","1","0"
"Material","1009090308","橡塑圈 配UPVC管D63","manual-L0","1","5","0"
"Material","1009090311","电力电缆0.6kV BVR-10m㎡","manual-L0","1","16","0"
"Material","1009090318","高频电缆 HYFQ22 4×4×0.9","manual-L0","1","2","0"
"Material","1009090321","镀锌三角钢管硬横梁  ( Q235)","manual-L0","1","9","0"
"Material","1009090358","钢筋混凝土管接口橡胶圈 配d1400","manual-L0","1","8","0"
"Material","1009090359","钢筋混凝土管接口橡胶圈 配d1600","manual-L0","1","8","0"
"Material","1009090429","汇流条槽道 210×120","manual-L0","1","4","0"
"Material","1009090430","汇流条槽道 270×120","manual-L0","1","4","0"
"Material","1009090433","900M漏缆接头","manual-L0","1","10","0"
"Material","1009090462","打印机用纸","manual-L0","1","22","0"
"Material","1009090466","光尾缆","manual-L0","1","11","0"
"Material","1009090471","机车信号接线盒 GQX-1","manual-L0","1","3","0"
"Material","1009090472","机车信号调整装置 JD·Z","manual-L0","1","3","0"
"Material","1009090473","机车信号双面九显示信号机 JY-XS-9","manual-L0","1","3","0"
"Material","1009090474","机车信号滤波器安装装置(托架)","manual-L0","1","3","0"
"Material","1009090476","机车信号滤波器箱 JLQ-1","manual-L0","1","2","0"
"Material","1009090480","预应力混凝土枕 Ⅰ型 专线（01）3277","manual-L0","1","2","0"
"Material","1009090481","机车信号环线固定卡","manual-L0","1","4","0"
"Material","1009090482","机车信号接收线圈 JY·J","manual-L0","1","2","0"
"Material","1009090483","机车信号测试区段接收线圈安装固定架","manual-L0","1","2","0"
"Material","1009090484","机车信号发码箱安放小方桌 800×500×800","manual-L0","1","4","0"
