kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,1010003,1070901,普通水泥 42.5 级,普通硅酸盐水泥 P·O42.5,kg,kg,L列指定电算代号
Material,1240014,1086657,碎石 40以内,碎石 ≤40 (圬工用),m3,m3,L列指定电算代号
Material,1260022,1080313,中粗砂,中粗砂 (圬工用),m3,m3,L列指定电算代号
Material,1260132,1093701,粉煤灰(混凝土工程),粉煤灰Ⅱ级,kg,t,L列指定电算代号
Material,3005008,1174931,萘系减水剂,减水剂,kg,kg,1=使用best_candidate
Material,3613025,1067101,六角螺母 Q345（16Mn),六角螺母 Q345,kg,kg,1=使用best_candidate
Material,3710013,1250001,电焊条 钢,钢电焊条,kg,kg,1=使用best_candidate
Machine,9102614,9102625,单筒慢速卷扬机 ≤50kN,单筒慢速卷扬机 ≤50kN/170m,台班,台班,1=使用best_candidate
Machine,9105306,9105326,单级离心清水泵 ≤25m3/h-50m,单级离心清水泵 ≤25m³/h-50m,台班,台班,1=使用best_candidate
Machine,9105305,9105325,单级离心清水泵 ≤25m3/h-32m,单级离心清水泵 ≤25m³/h-32m,台班,台班,1=使用best_candidate
Machine,9100003,9100010,履带式液压单斗挖掘机 ≤1.0m3,履带式液压单斗挖掘机 ≤1.0m³,台班,台班,1=使用best_candidate
Material,6000094,8065833,Ｕ形挂环 U-7,U形挂环 U-7,个,个,1=使用best_candidate
Material,4840015,1064551,Ｕ形螺丝 U-1880 L=110,Ｕ形螺栓 U-1880,个,个,1=使用best_candidate
Material,4826050,8060649,Ｕ形抱箍,Ｕ形抱箍 φ300,套,套,L列指定电算代号
Material,2000024,1013433,钢板 16Mnq δ=6～10,钢板 Q345q δ=6～10,kg,kg,1=使用best_candidate
Material,2920013,1168881,工业用凡士林 40号,凡士林 40号,kg,kg,1=使用best_candidate
Material,4842130,7052861,防震锤 FD-1,防振锤 FD-1,个,个,1=使用best_candidate
Material,4842131,7052883,防震锤 FD-2,防振锤 FD-2,个,个,1=使用best_candidate
Material,3711012,1251111,紫铜电焊条 铜107 Φ3.2,紫铜电焊条 铜107,kg,kg,1=使用best_candidate
Material,1240011,1086241,碎石 16以内,碎石 ≤16 (圬工用),m3,m3,L列指定电算代号
Machine,9108641,9107641,吹风机 ≤4m3/min,吹风机 ≤4m³/min,台班,台班,1=使用best_candidate
Material,3005035,1177991,固壁剂 利钻宝 NDM-1,固壁剂 NDM-1,kg,kg,1=使用best_candidate
Material,3372212,1224289,聚乙烯给水管（PE） 0.6MPa   de160,聚乙烯给水管 0.6MPa De160,m,m,1=使用best_candidate
Material,4020109,1270833,导向水平钻孔拉管机钻杆 Φ73×4570,导向水平钻孔拉管机钻杆 φ73 L=4.57m,根,根,1=使用best_candidate
Machine,9105351,9105381,离心式泥浆泵 ≤47m3/h-19m,离心式泥浆泵 ≤47m³/h-19m,台班,台班,1=使用best_candidate
Material,1423504,1135293,单电缆混凝土槽 1000×160×160(80直型),单电缆混凝土槽 1000×160×160,根,个,1=使用best_candidate
Material,1240012,1086449,碎石 25以内,碎石 ≤25 (圬工用),m3,m3,L列指定电算代号
Material,1960027,1012913,镀锌角钢,镀锌角钢 Q235-A,kg,kg,L列指定电算代号
Material,2030003,1013901,镀锌钢板 δ=0.3～5,镀锌钢板,kg,kg,1=使用best_candidate
Machine,9101002,9101002,电动空气压缩机 ≤0.6m3/min,电动活塞式空气压缩机 ≤0.6m³/min,台班,台班,1=使用best_candidate
Material,4715017,7010571,铜芯塑料线 BV 500V 10mm2,阻燃铜芯塑料线 ZR-BV 500V 10mm2,m,m,1=使用best_candidate
Material,4741145,1306181,镀锌钢制槽式桥架 400×200,镀彩钢制槽式桥架 400×200,m,m,1=使用best_candidate
Material,4741146,1306284,镀锌钢制槽式桥架 600×200,镀彩钢制槽式桥架 600×200,m,m,1=使用best_candidate
Material,4741147,1306387,镀锌钢制槽式桥架 800×200,镀彩钢制槽式桥架 800×200,m,m,1=使用best_candidate
Material,4741164,1306902,镀锌钢制梯级式桥架 200×150,镀彩钢制梯级式桥架 200×150,m,m,1=使用best_candidate
Material,4741165,1307005,镀锌钢制梯级式桥架 400×200,镀彩钢制梯级式桥架 400×200,m,m,1=使用best_candidate
Material,4741166,1307108,镀锌钢制梯级式桥架 600×200,镀彩钢制梯级式桥架 600×200,m,m,1=使用best_candidate
Material,3380019,1206211,聚苯乙烯泡沫塑料板 100×100×30,聚苯乙烯泡沫塑料板 δ=10～30,kg,m3,1=使用best_candidate
Material,8800102,6092209,减震橡胶垫,减振橡胶垫,个,个,1=使用best_candidate
Material,4416023,1310001,铭牌 搪瓷,搪瓷铭牌,个,个,1=使用best_candidate
Material,4753115,7018950,10kV户外三芯冷缩电缆终端头 25～35mm2,10kV户外三芯冷缩电缆终端头 25～50mm2,个,个,1=使用best_candidate
Material,4753120,7018703,10kV三芯冷缩中间电缆头 25～35mm2,10kV三芯冷缩中间电缆头 25～50mm2,个,个,1=使用best_candidate
Material,4753117,7018969,10kV户外三芯冷缩电缆终端头 95～120mm2,10kV户外三芯冷缩电缆终端头 70～120mm2,个,个,1=使用best_candidate
Material,4753122,7018741,10kV三芯冷缩中间电缆头 95～120mm2,10kV三芯冷缩中间电缆头 70～120mm2,个,个,1=使用best_candidate
Material,4753119,7019007,10kV户外三芯冷缩电缆终端头 240～400mm2,10kV户外三芯冷缩电缆终端头 300～400mm2,个,个,L列指定电算代号
Material,4753124,7018779,10kV三芯冷缩中间电缆头 240～300mm2,10kV三芯冷缩中间电缆头 300～400mm2,个,个,1=使用best_candidate
Material,4753040,7018646,10kV单芯冷缩电缆终端头 T型、插拔式 95～120mm2,10kV单芯冷缩电缆终端头 T型、插拔式 70～120mm2,个,个,L列指定电算代号
Material,4753132,7018494,10kV单芯冷缩中间电缆头 95～120mm2,10kV单芯冷缩中间电缆头 70～120mm2,个,个,1=使用best_candidate
Material,4753041,7018665,10kV单芯冷缩电缆终端头 T型、插拔式 150～185mm2,10kV单芯冷缩电缆终端头 T型、插拔式 150～240mm2,个,个,1=使用best_candidate
Material,4753133,7018513,10kV单芯冷缩中间电缆头 150～185mm2,10kV单芯冷缩中间电缆头 150～240mm2,个,个,1=使用best_candidate
Material,4753042,7018684,10kV单芯冷缩电缆终端头 T型、插拔式 240～400mm2,10kV单芯冷缩电缆终端头 T型、插拔式 300～400mm2,个,个,L列指定电算代号
Material,4753134,7018532,10kV单芯冷缩中间电缆头 240～400mm2,10kV单芯冷缩中间电缆头 300～400mm2,个,个,1=使用best_candidate
Material,2400210,1016761,铜线 16号,铜线,kg,kg,1=使用best_candidate
Material,4753234,7019425,35kV户内三芯冷缩电缆终端头 50～95mm2,35kV户内三芯冷缩电缆终端头 35～95mm2,个,个,1=使用best_candidate
Material,4753236,7019577,35kV户内三芯冷缩电缆终端头 240～300mm2,35kV户内三芯热缩电缆终端头 240～400mm2,个,个,1=使用best_candidate
Material,4753229,7019349,35kV三芯冷缩中间电缆头 240～300mm2,35kV三芯冷缩中间电缆头 240～400mm2,个,个,1=使用best_candidate
Machine,9102613,9102623,单筒慢速卷扬机 ≤30kN,单筒慢速卷扬机 ≤30kN/150m,台班,台班,1=使用best_candidate
Material,4812315,7047021,13600#瓷件,13600号瓷件,个,个,1=使用best_candidate
Material,4715020,7010381,铜芯塑料线 BV 500V 35mm2,铝芯塑料线 BLV 500V 35mm2,m,m,1=使用best_candidate
Material,4753110,7018874,10kV户内三芯冷缩电缆终端头 25～35mm2,10kV户内三芯冷缩电缆终端头 25～50mm2,个,个,1=使用best_candidate
Material,4753112,7018893,10kV户内三芯冷缩电缆终端头 95～120mm2,10kV户内三芯冷缩电缆终端头 70～120mm2,个,个,1=使用best_candidate
Material,4753114,7018931,10kV户内三芯冷缩电缆终端头 240～400mm2,10kV户内三芯冷缩电缆终端头 300～400mm2,个,个,L列指定电算代号
Material,4715014,7010894,铜芯塑料线 BV 500V 2.5mm2,铜芯塑料软线 BVR 500V 2.5mm2,m,m,1=使用best_candidate
Machine,9101005,9101005,电动空气压缩机 ≤6m3/min,电动活塞式空气压缩机 ≤6m³/min,台班,台班,1=使用best_candidate
Material,1280014,1171225,过氯乙烯胶液 G98-1 G98-2,过氯乙烯胶液,kg,kg,1=使用best_candidate
Material,4740018,7050463,控制电缆头套管 KT2-7 14芯以下,控制电缆头套管 KT2-7 ≤14芯,只,只,1=使用best_candidate
Material,4740019,7050485,控制电缆头套管 KT2-10 24芯以下,控制电缆头套管 KT2-10 ≤24芯,只,只,1=使用best_candidate
Material,4822101,7018076,封闭型母线 宽850/360mm2,封闭型母线 宽850/360mm2 单片载流量1125A,m/单相,m/单相,1=使用best_candidate
Material,4715018,7010362,铜芯塑料线 BV 500V 16mm2,铝芯塑料线 BLV 500V 16mm2,m,m,1=使用best_candidate
Material,4826016,7054907,Ｕ形抱箍(Ⅴ),Ｕ形抱箍(Ⅴ) BLJ-10,套,套,L列指定电算代号
Material,4715023,7010685,铜芯塑料线 BV 500V 95mm2,阻燃铜芯塑料线 ZR-BV 500V 95mm2,m,m,1=使用best_candidate
Material,4715024,7010704,铜芯塑料线 BV 500V 120mm2,阻燃铜芯塑料线 ZR-BV 500V 120mm2,m,m,L列指定电算代号
Material,4826015,7054885,Ｕ形抱箍(Ⅳ),Ｕ形抱箍(Ⅳ) BLJ-10,套,套,L列指定电算代号
Material,4828047,7055677,支座抱箍,支座抱箍(双) D193,套,套,L列指定电算代号
Material,4841019,1064801,Ｕ形螺栓带帽 M16,Ｕ形螺栓带帽 M16×290,套,套,1=使用best_candidate
Material,3002028,1017307,铝银粉 250目,铝银粉 粒径≤250,kg,kg,1=使用best_candidate
Material,2700015,3010361,钢轨 38～50kg,钢轨 ≤50kg,t,t,1=使用best_candidate
Material,4217011,7023301,马路弯灯 臂长1200以下,马路弯灯 臂长≤1200,套,套,1=使用best_candidate
Material,4217012,7023361,马路弯灯 臂长1200以上,马路弯灯 臂长＞1200,套,套,L列指定电算代号
Material,5300383,8047151,镀锌钢管柱 焊接 (Q235),镀锌H形钢柱 Q235,t,t,1=使用best_candidate
Material,2020001,1013875,冷轧钢板 Q235-A δ=0.3～3,冷轧钢板,kg,kg,L列指定电算代号
Material,2348111,1066151,锁紧螺母 1.5×DN25～32,锁紧螺母 DN25～32×1.5,个,个,1=使用best_candidate
Material,2348110,1066101,锁紧螺母 1.5×DN15～20,锁紧螺母 DN15～20×1.5,个,个,1=使用best_candidate
Material,4220010,7023721,隧道灯具 T5D,隧道灯具 IP65,套,套,1=使用best_candidate
Material,1962001,7023781,型钢,隧道灯具 IP66,kg,套,L列指定电算代号
Material,2348113,1066251,锁紧螺母 3×DN15～20,锁紧螺母 DN15～20×3,个,个,1=使用best_candidate
Material,2348117,1066451,锁紧螺母 3×DN80～100,锁紧螺母 DN80～100×3,个,个,1=使用best_candidate
Material,4715026,7010742,铜芯塑料线 BV 500V 185mm2,阻燃铜芯塑料线 ZR-BV 500V 185mm2,m,m,L列指定电算代号
Material,2348114,1066301,锁紧螺母 3×DN25～32,锁紧螺母 DN25～32×3,个,个,1=使用best_candidate
Material,2348115,1066351,锁紧螺母 3×DN40～50,锁紧螺母 DN40～50×3,个,个,1=使用best_candidate
Material,4715021,7010647,铜芯塑料线 BV 500V 50mm2,阻燃铜芯塑料线 ZR-BV 500V 50mm2,m,m,1=使用best_candidate
Material,4510010,6060001,避雷针 1.5m,接闪针 1.5m,根,根,1=使用best_candidate
Material,4510011,6060099,避雷针 3m,接闪针 3m,根,根,1=使用best_candidate
Material,4510012,6060197,避雷针 7m,接闪针 7m,根,根,1=使用best_candidate
Material,4510013,6060295,避雷针 12m,接闪针 12m,根,根,1=使用best_candidate
Material,3647519,1069201,垫片 钢板8×70×70,钢板垫片 70×70×8,块,块,1=使用best_candidate
Material,4510017,6060393,避雷针 20m BLJ-30,接闪针 20m,座,座,1=使用best_candidate
Material,6144313,6065685,避雷针底脚 30×260×260,接闪针底脚 30×260×260,块,块,1=使用best_candidate
Material,4510018,6060491,避雷针 25m BLJ-28/29,接闪针 25m,座,座,1=使用best_candidate
Material,4510019,6060589,避雷针 30m,接闪针 30m,座,座,1=使用best_candidate
Material,2523116,1017255,V型镀锌固定条 ≤Φ32,V形镀锌固定条 φ≤32,个,个,1=使用best_candidate
Material,3394114,1034047,聚四氟乙烯带 0.1×60,聚四氟乙烯带 60×0.1,kg,kg,1=使用best_candidate
Material,7317214,5037085,低烟无卤耐火屏蔽软线 WDN-RYYP 2芯1.5mm2,低烟无卤耐火屏蔽软线 WDZN-RYYP 2芯1.5mm2,m,m,1=使用best_candidate
Material,1280010,1173231,玻璃胶,玻璃胶 310g,支,支,1=使用best_candidate
