kind,old_code,new_code,status,source_name,target_name,source_unit,target_unit,match_score,reason
Labor,1,1,人工保留,,,,,0,
Labor,3,3,人工保留,,,,,0,
Labor,4,4,人工保留,,,,,0,
Labor,5,5,人工保留,,,,,0,
Labor,6,6,人工保留,,,,,0,
Labor,7,7,人工保留,,,,,0,
Labor,10,10,特殊人工保留,,,,,0,
Labor,11,11,特殊人工保留,,,,,0,
Material,1010002,1010002,2024缺失，补充,水泥 32.5 级,水泥 32.5 级,kg,kg,0,无可靠唯一相似候选，按补充处理
Material,1010003,1070901,人工审核指定电算代号,普通水泥 42.5 级,普通硅酸盐水泥 P·O42.5,kg,kg,100,L列指定电算代号
Material,1010007,1073601,人工审核指定电算代号,白色水泥,白色硅酸盐水泥 42.5,kg,kg,100,L列指定电算代号
Material,1010008,1074501,名称单位匹配,膨胀水泥,膨胀水泥,kg,kg,100,
Material,1010012,1070901,人工审核使用best_candidate,普通水泥 42.5级(高性能混凝土),普通硅酸盐水泥 P·O42.5,kg,kg,100,1=使用best_candidate
Material,1010013,1071801,人工审核使用best_candidate,普通水泥 52.5级(高性能混凝土),普通硅酸盐水泥 P·O52.5,kg,kg,100,1=使用best_candidate
Material,1100001,1297741,名称单位匹配,杉木脚手杆,杉木脚手杆,m3,m3,100,
Material,1110001,1140001,名称单位匹配,原木,原木,m3,m3,100,
Material,1110003,1140303,名称单位匹配,锯材,锯材,m3,m3,100,
Material,1110018,1140605,名称单位匹配,硬木锯材,硬木锯材,m3,m3,100,
Material,1110519,3041249,人工审核使用best_candidate,支撑垫木(硬）,垫木,m3,m3,100,1=使用best_candidate
Material,1110521,1142719,人工审核使用best_candidate,灰板条,灰板条 1000×30×8,百根,百根,100,1=使用best_candidate
Material,1110527,4035303,人工审核指定电算代号,硬木扶手（直形）60×60,成品硬木扶手,m,m,100,L列指定电算代号
Material,1110531,1141813,规范化名称匹配,硬木弯头60×65,硬木弯头 60×65,个,个,98,
Material,1110532,3041301,相似名称匹配,CRTSⅡ型轨道板专用垫木（200×200）,CRTSⅡ型轨道板专用垫木 200×200×200,块,块,100,自动采用唯一高相似候选
Material,1110550,1290001,人工审核使用best_candidate,木模板(底模和端模),木模板(底模和端模) δ=20,m2,m2,100,1=使用best_candidate
Material,1110600,1141511,规范化名称匹配,硬木 Φ50×4000,硬木 φ50×4000,根,根,98,
Material,1120002,1143021,规范化名称匹配,防腐木电杆 Φ140×6000,防腐木电杆 φ140×6000,根,根,98,
Material,1120014,1143323,规范化名称匹配,防腐圆木 Φ150～180×2100,防腐圆木 φ(150～180)×2100,根,根,98,
Material,1120018,1143625,名称单位匹配,桩木,桩木,m3,m3,100,
