kind,old_code,new_code,name,source_unit,target_unit
Material,5468401,8068577,支柱号码牌（双面、反光）,块,件
Material,4835112,7057129,拉板 扁钢4×40×270,根,块
Material,5700002,7043781,悬式绝缘子 XWP2-70,套,个
Material,4832024,7056337,电缆终端盒固定支架 扁钢8×80,套,个
Material,4835348,7058009,三极隔离开关操作杆卡箍,套,个
Material,4828026,7054951,抱箍,套,t
Material,7517512,5043741,电缆托架穿钉 M16,套,个
Material,1423507,1135401,双电缆混凝土槽 1000×200×160,根,个
Material,3394117,1033928,聚氯乙烯绝缘软带 20×40,kg,卷
Material,4752011,7019672,热缩式电缆终端头 RST-2 1kV,套,个
Material,4752012,7019691,热缩式电缆终端头 RST-3 1kV,套,个
Material,4753010,7019710,热缩式中间电缆头 RSJ-1 1kV,套,个
Material,4752010,7019653,热缩式电缆终端头 RST-1 1kV,套,个
Material,4753011,7019729,热缩式中间电缆头 RSJ-2 1kV,套,个
Material,4753012,7019748,热缩式中间电缆头 RSJ-3 1kV,套,个
Material,4841010,1064651,Ｕ形螺栓带帽,套,kg
Material,4842019,7058845,母线衬垫 JG,套,个
Material,6177753,8076021,吊索滑环电缆悬挂装置,套,件
Material,4811314,7044726,电车绝缘子,套,个
Material,6000019,8076686,双设备线夹 SL1-TL-2×300,套,个
Material,6000062,8077666,软母线间隔棒 MRJ-4/120,套,件
Material,6111017,8070421,110kV三极GK支架,套,台
Material,6111023,8070771,YH支架 LH 110kV,套,件
Material,6111027,8070806,主变中性点支架,套,件
Material,6122001,8071191,27.5kV 单极GK托架,套,件
Material,4741034,8017813,电缆固定夹具 110kV,套,个
Material,6111018,8070666,110kV双支持绝缘子支架,套,台
Material,3350211,1224897,聚氯乙烯硬管 D50,kg,m
Material,7510114,5050501,光缆终端盒(含接续材料) 48芯,套,个
Material,7510112,5050251,光缆终端盒(含接续材料) 20芯,套,个
Material,8810306,6036733,光电缆警示牌,套,个
Material,3392093,1061301,塑料膨胀锚栓,套,个
Material,3330010,1026425,橡胶板 δ=1,kg,m2
Material,1280080,1082289,干混地面砂浆 M20.0,t,m3
Material,4838010,1063351,地脚螺栓 M8×100,个,根
Material,2766022,3044629,WJ-7型扣件,套,组
Material,2766026,3044681,WJ-8型扣件,套,组
Material,2766032,3044941,弹条Ⅶ型扣件,套,组
Material,2766028,3044889,弹条V型扣件,套,组
Material,5468451,8068673,高压危险牌(反光),套,件
Material,5468471,8061361,号码牌肩架 混凝土柱,套,件
Material,5468473,8061385,号码牌肩架 圆柱,套,件
Material,5468472,8061377,号码牌肩架 钢柱,套,件
Material,5427829,8061369,号码牌肩架 H形钢柱,套,件
Material,5401832,8063105,防风吊线,套,件
Material,5427758,8062993,平腕臂底座及槽钢 H93,套,件
Material,5611037,8061321,接地跳线肩架 H7.8 R或L JL323,套,件
Material,5901143,8066689,平腕臂 L=2300 PWG60×5,套,件
Material,5901149,8066737,平腕臂 L=2900 PWG60×5,套,件
Material,5901150,8066745,平腕臂 L=3000 PWG60×5,套,件
Material,5901152,8066761,平腕臂 L=3200 PWG60×5,套,件
Material,5901154,8066777,平腕臂 L=3600 PWG60×5,套,件
Material,5901423,8067889,斜腕臂 L=2300 XWG60×5,套,件
Material,5901426,8067913,斜腕臂 L=2600 XWG60×5,套,件
Material,5901428,8067929,斜腕臂 L=2800 XWG60×5,套,件
Material,5901429,8067937,斜腕臂 L=3000 XWG60×5,套,件
Material,5901431,8067953,斜腕臂 L=3400 XWG60×5,套,件
Material,5901433,8067969,斜腕臂 L=3800 XWG60×5,套,件
Material,5901500,8063169,套管双耳,套,件
Material,5901543,8063201,承力索座 GDA1,套,件
Material,5901615,8063361,支撑 L=1500 G34×2.5,套,件
Material,5901672,8063545,支撑管卡子 G60,套,件
Material,5903110,8063689,限位定位器 L10,套,件
Material,5903112,8063705,限位定位器 L12,套,件
Material,5903113,8063713,限位定位器 L13,套,件
Material,5903133,8063737,定位支座 L55,套,件
Material,5903150,8064977,定位线夹,套,件
Material,5903162,8063785,定位环 G48,套,件
Material,5903163,8063793,定位环 G60,套,件
Material,5903275,8063921,定位管 L=2500 G48×3.5,套,件
Material,5903320,8063937,定位管 L=3200 G48×3.5,套,件
Material,5903355,8063945,定位管 L=3550 G48×3.5,套,件
Material,5903484,8064337,定位管卡子 48,套,件
Material,5427764,8063025,双支平腕臂底座及槽钢 H93,套,件
Material,5901140,8066665,平腕臂 L=2000 PWG60×5,套,件
Material,5901142,8066681,平腕臂 L=2200 PWG60×5,套,件
Material,5901144,8066697,平腕臂 L=2400 PWG60×5,套,件
Material,5901145,8066705,平腕臂 L=2500 PWG60×5,套,件
Material,5901146,8066713,平腕臂 L=2600 PWG60×5,套,件
Material,5901147,8066721,平腕臂 L=2700 PWG60×5,套,件
Material,5901421,8067873,斜腕臂 L=2100 XWG60×5,套,件
Material,5901425,8067905,斜腕臂 L=2500 XWG60×5,套,件
Material,5901610,8063353,支撑 L=1000 G34×2.5,套,件
Material,5901671,8063537,支撑管卡子 G48,套,件
Material,5903270,8063913,定位管 L=2000 G48×3.5,套,件
Material,5903285,8063929,定位管 L=2850 G48×3.5,套,件
Material,5904102,8064353,锚支定位卡子 G50,套,件
Material,5901137,8066641,平腕臂 L=1700 PWG60×5,套,件
Material,5901138,8066649,平腕臂 L=1800 PWG60×5,套,件
Material,5901422,8067881,斜腕臂 L=2200 XWG60×5,套,件
Material,5901430,8067945,斜腕臂 L=3200 XWG60×5,套,件
Material,5901606,8063321,支撑 L=600 G34×2.5,套,件
Material,5901607,8063329,支撑 L=700 G34×2.5,套,件
Material,5901608,8063337,支撑 L=800 G34×2.5,套,件
Material,5903265,8063905,定位管 L=1500 G48×3.5,套,件
Material,5907002,8064617,整体吊弦 B,套,件
Material,5901148,8066729,平腕臂 L=2800 PWG60×5,套,件
Material,5901620,8063385,支撑 L=2000 G34×2.5,套,件
Material,5907061,8065089,接触线吊弦线夹,套,件
Material,5427770,8063049,双腕臂底座及槽钢 H形钢柱,套,件
Material,5901155,8066785,平腕臂 L=3800 PWG60×5,套,件
Material,5901427,8067921,斜腕臂 L=2700 XWG60×5,套,件
Material,5901432,8067961,斜腕臂 L=3600 XWG60×5,套,件
Material,5901603,8063297,支撑 L=300 G34×2.5,套,件
Material,5901605,8063313,支撑 L=500 G34×2.5,套,件
Material,5903111,8063697,限位定位器 L11,套,件
Material,5903121,8063721,限位定位器 RL,套,件
Material,5901424,8067897,斜腕臂 L=2400 XWG60×5,套,件
Material,5901604,8063305,支撑 L=400 G34×2.5,套,件
Material,5901609,8063345,支撑 L=900 G34×2.5,套,件
Material,5427771,8063057,三腕臂底座及槽钢 H形钢柱,套,件
Material,5901139,8066657,平腕臂 L=1900 PWG60×5,套,件
Material,5901136,8066633,平腕臂 L=1600 PWG60×5,套,件
Material,5901141,8066673,平腕臂 L=2100 PWG60×5,套,件
